"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1250,"NCT01135758","Study of Depression-Ketamine-Brain Function",,"Terminated","No Results Available","Major Depression","Drug: Ketamine","Difference of the MADRS score at baseline and after ketamine injection","Markus KOSEL|University Hospital, Geneva","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CE09-144/Psy 09-22","June 2010","June 2015","September 2015","June 3, 2010",,"December 7, 2015","Service de Psychiatrie Adulte, Programme dépression, Geneva, Switzerland",,"https://ClinicalTrials.gov/show/NCT01135758"
1251,"NCT01098318","Rhodiola Rosea Therapy of Major Depressive Disorder",,"Completed","Has Results","Depression","Dietary Supplement: Herbal extract|Drug: Sertraline|Other: Lactose monohydrate","Depressive Symptoms as Measured by the Hamilton Depression Rating Scale (17-items) at Week 8 and Week 12.|The Clinical Global Impression (CGI) Severity and Change|Change in Depressive Symptoms as Measured by the Beck Depression Inventory|Change in Sexual Function|Number of Participants With Suicide Ideation as Determined by the Columbia Suicide Form|Number of Participants With Treatment Emergent Side Effects","University of Pennsylvania|National Center for Complementary and Integrative Health (NCCIH)","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","58","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","AT005230|R21AT005230","June 2010","July 2013","July 2013","April 2, 2010","May 18, 2016","February 22, 2018","Depression Research Unit, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01098318"
1252,"NCT01049347","Amitriptyline and Paroxetine Treatment of Major Depression",,"Completed","No Results Available","Unipolar Depression","Drug: amitriptyline|Drug: paroxetine","Hamilton Depression Rating Scale (21-item version)|cortisol in saliva (8.00, 16.00, 22.00) during wash-out (6 days) and 35 days of treatment","Central Institute of Mental Health, Mannheim","All","18 Years and older   (Adult, Older Adult)","Phase 3","127","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","AmiPar|DFG De 660/1-1","October 1997","May 2000","May 2000","January 14, 2010",,"January 14, 2010","Central Institute of Mental Health, Mannheim, Germany",,"https://ClinicalTrials.gov/show/NCT01049347"
1253,"NCT00247195","Effectiveness of Culturally Based Congruent Care in Treating Hispanics With Major Depressive Disorder",,"Completed","No Results Available","Depression","Behavioral: Culturally Congruent Assessment and Treatment","Entry into specialty mental health care from primary care|Entry into treatment for major depressive disorder after evaluation|Dropout from stepped care|Score on the Hamilton Depression Scale (17-item)|Score on the Clinical Global Impression Scale|Score on the Working Alliance Inventory|Score on the Client Satisfaction Questionnaire|Score on the Side Effects Checklist|Score on the Quality of Life Index|Score on the Social Adjustment Scale - Self-report version|Score on the Nervios Treatment Scale|Score on the Clinical Global Impression Scale - Patient version","New York State Psychiatric Institute|National Institute of Mental Health (NIMH)","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","113","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","#4985|R34MH073087|DSIR 82-SESC","November 2005","August 2010","August 2010","November 1, 2005",,"October 25, 2012","New York State Psychiatric Institute - Hispanic Treatment Program, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT00247195"
1254,"NCT02977299","Comparative Effectiveness Research Trial for Antidepressant Incomplete and Non-responders With TRD","ASCERTAINTRD","Recruiting","No Results Available","Treatment Resistant Major Depressive Disorder","Drug: Aripiprazole|Device: Repetitive transcranial magnetic stimulation (rTMS)|Drug: Venlafaxine XR","Montgomery-Asberg Depression Rating Scale (MADRS)|Quality of Life, Enjoyment and Satisfaction Questionnaire - Short Form (Q-LES-Q-SF)","Massachusetts General Hospital|Patient-Centered Outcomes Research Institute","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","639","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2015P002430","May 1, 2017","October 2021","January 2022","November 30, 2016",,"September 2, 2020","The University of Alabama School of Medicine, Birmingham, Alabama, United States|Pacific Institute of Medical Research, Los Angeles, California, United States|Stanford University, Stanford, California, United States|University of South Florida, Tampa, Florida, United States|Emory University, Atlanta, Georgia, United States|Northwestern University, Feinberg School of Medicine, Chicago, Illinois, United States|Kansas University School of Medicine, Wichita, Kansas, United States|Shepperd Pratt Health System, University of Maryland School of Medicine, Baltimore, Maryland, United States|Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts, United States|New York University, New York, New York, United States|University of Cincinnati, Cincinnati, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Roper St. Francis Hospital, Charleston, South Carolina, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|University of Virginia School of Medicine, Charlottesville, Virginia, United States|University of British Columbia, Vancouver, British Columbia, Canada|University of Manitoba St. Boniface Hospital, Winnipeg, Manitoba, Canada|University Health Network Toronto, Toronto, Ontario, Canada|Foundation Santa Lucia, Roma, Italy",,"https://ClinicalTrials.gov/show/NCT02977299"
1255,"NCT00429169","Paroxetine/Bupropion in Suicide Attempters/Ideators With Major Depression",,"Terminated","Has Results","Depression","Drug: Paroxetine|Drug: Bupropion","Go-No go Test|Scale for Suicidal Ideation|Occurrence of Suicidal Ideation or Acts Necessitating a Change in Treatment|Brain Activity Measured by BOLD Signal With fMRI During a Reward Processing Task.","New York State Psychiatric Institute|National Institute of Mental Health (NIMH)","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","101","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","#5933R|K23MH076049|DSIR 8KRT-AT","June 2004","January 2010","January 2013","January 31, 2007","January 24, 2013","October 30, 2018","Columbia University/New York State Psychiatric Institute, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT00429169"
1256,"NCT02286024","Study of Morphological and Perfusion Imaging Predictors of Pejorative Outcome in Major Depressive Disorder","LONGIDEP","Active, not recruiting","No Results Available","Depressive Disorder",,"Cortical thickness|Cerebral Blood Flow (after treatment of ASL data)","Rennes University Hospital","All","18 Years and older   (Adult, Older Adult)",,"178","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2013-A01733-42|829","November 3, 2014","September 30, 2018","September 4, 2021","November 7, 2014",,"January 6, 2021","Centre Hospitalier Guillaume Regnier, Rennes, Britanny, France",,"https://ClinicalTrials.gov/show/NCT02286024"
1257,"NCT00693680","Zinc Supplementation of Imipramine Therapy",,"Completed","No Results Available","Major Depression","Dietary Supplement: Zincas Forte|Dietary Supplement: Placebo","To compare the effect of zinc vs placebo in imipramine treated depressed patients (CGI, BDI, HADRS, MADRS)|To assess unwanted side effects in both groups","Polish Academy of Sciences|Jagiellonian University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ZnIMI/2004","January 2005","April 2006","April 2006","June 9, 2008",,"June 13, 2008","Department of Psychiatry, Collegium Medicum, Jagiellonian University, Krakow, Poland",,"https://ClinicalTrials.gov/show/NCT00693680"
1258,"NCT02690324","The Development of Skin Adhesive Patches for the Monitoring and Prediction of Mental Disorders",,"Unknown status","No Results Available","Major Depressive Disorder, Anxiety Disorder","Behavioral: cognitive stress (serial 7)","Electrodermal activity(EDA)|Heart rate variability|Brain-derived neurotrophic factor(BDNF) genotyping: Val66Met|Cytokines|Leptin|Adiponectin|Epinephrine|Norepinephrine|C reactive protein|BDNF|MINI plus|MINI Suicidality Module|Hamilton Depression Rating Scale-17(HAMD-17)|Hamilton Anxiety Rating Scale(HAMA)|Anxiety Sensitivity Index(ASI)|APPQ(Albany Panic and Phobia Questionnaire)|PSWQ(Penn state worry questionnaire)|SRI(Stress response Inventory)|Perceived Stress Scale(PSS)|Barratt Impulsivity Scale|Panic disorder severity scale(PDSS)","Samsung Medical Center","All","20 Years and older   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2015-07-151","November 2015","February 2018",,"February 24, 2016",,"February 24, 2016","Samsung Medical Center, Seoul, Irwon-dong, Gangnam-gu, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02690324"
1259,"NCT04582916","PET Imaging of Cyclooxygenase in Participants With Major Depressive Disorder (MDD)",,"Recruiting","No Results Available","Depression","Drug: 11C-MCI|Drug: 11CPS13","Measure the concentration of radioligands|measure peripheral markers of inflammation and COX binding|measure clinical rating scales and COX binding","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","64","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","200157|20-M-0157","July 20, 2021","May 29, 2023","August 29, 2023","October 12, 2020",,"July 22, 2021","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04582916"
1260,"NCT00958204","Light, Ion, and Fluoxetine Efficacy (LIFE) in Depression",,"Completed","No Results Available","Major Depressive Disorder (MDD)","Procedure: Light treatment|Procedure: Negative ion therapy|Drug: Placebo|Drug: Fluoxetine","Change in adjusted HAM-D scores at 2-month follow-up.|At 2-month follow-up: clinical response and remission rates, absenteeism and work productivity, adverse events, quality of life, and health services.","University of British Columbia|Canadian Institutes of Health Research (CIHR)","All","19 Years to 60 Years   (Adult)","Phase 3","134","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","H09-01015","October 2009","February 2014","May 2014","August 13, 2009",,"June 6, 2014","UBC Hospital Mood Disorders Centre, Vancouver, British Columbia, Canada",,"https://ClinicalTrials.gov/show/NCT00958204"
1261,"NCT03666494","Ketamine Co-induction for Patients With Major Depressive Disorder",,"Unknown status","No Results Available","Ketamine|Depression|Anesthesia","Drug: Ketamine Hydrochloride|Drug: Propofol|Drug: Fentanyl","Depression Severity|Pain Score|Analgesia use","University of Saskatchewan","Female","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Bio 18-19","December 2018","December 2019","December 2019","September 11, 2018",,"September 13, 2018",,,"https://ClinicalTrials.gov/show/NCT03666494"
1262,"NCT00056472","Study of Pharmacotherapy of Psychotic Depression","STOP-PD","Completed","Has Results","Major Depressive Disorder With Psychotic Features","Drug: Olanzapine|Drug: Sertraline|Other: placebo","Remission of Depression Hamilton Depression Scale (Ham-D) and Psychosis Schedule for Affective Disorders in Schizophrenia - Delusional Item (SADS) During the Course of the Trial|Scores on CGI-S Compared to Baseline Over the Course of the Trial","Weill Medical College of Cornell University|National Institute of Mental Health (NIMH)","All","18 Years and older   (Adult, Older Adult)","Phase 3","259","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","U01MH062624|U01MH062565|U01MH062518|U01MH062446","January 2003","June 2008","June 2008","March 17, 2003","August 2, 2013","August 2, 2013","University of Massachusetts Medical School, Worcester, Massachusetts, United States|Cornell University, New York, New York, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Toronto, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00056472"
1263,"NCT01190514","Phase 1 Study To Test the Bioequivalence Between Two 25 mg Tablets vs. One 50 mg Tablet Under Fast/Fed Condition and Evaluate Food Effect of Desvenlafaxine Succinate Sustained Release (DVS SR)",,"Completed","Has Results","Depression - Major Depressive Disorder","Drug: desvenlafaxine succinate sustained release","Area Under the Plasma Concentration-time Profile From Time 0 to 48 Hours (AUC48)|Maximum Plasma Concentration (Cmax)|Time to Reach Maximum Observed Plasma Concentration (Tmax)|Terminal Elimination Half-life (t 1/2)|Area Under the Plasma Concentration-time Profile From Time 0 Extrapolated to Infinite Time (AUCinf)|Area Under the Plasma Concentration-time Profile From Time 0 Extrapolated to Time of the Last Quantifiable Concentration (AUClast)","Pfizer","All","18 Years to 55 Years   (Adult)","Phase 1","41","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","B2061035","September 2010","November 2010","November 2010","August 27, 2010","January 27, 2012","January 27, 2012","Pfizer Investigational Site, Bruxelles, Belgium",,"https://ClinicalTrials.gov/show/NCT01190514"
1264,"NCT00275197","A Research Study to Compare the Treatments of a Combination of Elzasonan With Zoloft, to Zoloft Alone, or Placebo in People With Major Depressive Disorder (MDD)",,"Completed","No Results Available","Depressive Disorder, Major","Drug: Sertraline and Elzasonan Combination|Drug: Sertraline|Drug: Placebo","The estimated treatment difference (elzasonan plus sertraline - sertraline monotherapy) in MADRS (Montgomery-Asberg Depression Rating Scale) remission rates at Week 8 in patients with MDD.|Change from baseline in: MADRS, CGI-I, CGI-S, HAMA, HAMD17, CSFQ, SOS-10 and PGID-D total scores at Week 8. Treatment differences in MADRS response rates at Week 8.","Pfizer","All","18 Years and older   (Adult, Older Adult)","Phase 2","262","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","A7571001","December 2005",,"July 2007","January 11, 2006",,"November 2, 2008","Pfizer Investigational Site, Beverly Hills, California, United States|Pfizer Investigational Site, Norwich, Connecticut, United States|Pfizer Investigational Site, New York, New York, United States|Pfizer Investigational Site, Beachwood, Ohio, United States|Pfizer Investigational Site, Santiago, RM, Chile|Pfizer Investigational Site, Viljandi, Viljandi mk., Estonia|Pfizer Investigational Site, Pärnu, Estonia|Pfizer Investigational Site, Tallinn, Estonia|Pfizer Investigational Site, Gatchina, Leningrad region, Russian Federation|Pfizer Investigational Site, Moscow, Russian Federation|Pfizer Investigational Site, Moscow, Russian Federation|Pfizer Investigational Site, Moscow, Russian Federation|Pfizer Investigational Site, Rostov On Don, Russian Federation|Pfizer Investigational Site, Smolensk, Russian Federation|Pfizer Investigational Site, St Petersburg, Russian Federation|Pfizer Investigational Site, St. Petersburg, Russian Federation|Pfizer Investigational Site, St. Petersburg, Russian Federation|Pfizer Investigational Site, St. Petersburg, Russian Federation|Pfizer Investigational Site, St. Petersburg, Russian Federation",,"https://ClinicalTrials.gov/show/NCT00275197"
1265,"NCT04814355","The Effect of Celecoxib on Neuroinflammation in MDD",,"Recruiting","No Results Available","Major Depressive Disorder|Neuroinflammation","Drug: Celecoxib 400 mg","Change in neuroinflammation as measured by [18F]FEPPA PET.|Change in Montgomery-Åsberg Depression Rating Scale (MADRS) score.","Stony Brook University|Brain & Behavior Research Foundation","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","42","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","81741","August 1, 2018","July 31, 2022","July 31, 2023","March 24, 2021",,"June 1, 2021","Psychiatry Department at Stony Brook University, Stony Brook, New York, United States",,"https://ClinicalTrials.gov/show/NCT04814355"
1266,"NCT02499094","Modeling and Predicting Real World Behavior Using Mobile Sensor Data on Patients With Major Depressive Disorder",,"Completed","No Results Available","Depressive Disorder","Other: Behavioral-data driven support","Change in depression symptom severity|Change in patient activation","Ginger.io","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","1004","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Supportive Care","GIO-001","December 2014","July 2015",,"July 15, 2015",,"July 15, 2015",,,"https://ClinicalTrials.gov/show/NCT02499094"
1267,"NCT03185819","Study to Evaluate the Efficacy and Safety of 3 Fixed Doses of Intranasal Esketamine in Addition to Comprehensive Standard of Care for the Rapid Reduction of the Symptoms of Major Depressive Disorder, Including Suicidal Ideation, in Pediatric Participants Assessed to be at Imminent Risk for Suicide",,"Recruiting","No Results Available","Depressive Disorder, Major","Drug: Intranasal Placebo|Drug: Midazolam Placebo Solution|Drug: Midazolam|Drug: Esketamine","Change From Baseline in Children's Depression Rating Scale-Revised (CDRS-R) Total Score at 24 Hours Post First Dose","Janssen Research & Development, LLC","All","9 Years to 17 Years   (Child)","Phase 2","145","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","CR108323|2016-004422-42|ESKETINSUI2002","October 5, 2017","June 13, 2022","June 13, 2022","June 14, 2017",,"July 23, 2021","Asclepes Research, Panorama City, California, United States|Rady Children's Hospital, San Diego, California, United States|University of California, San Francisco, San Francisco, California, United States|Institute of Living/ Hartford Hospital, Hartford, Connecticut, United States|Yale University, New Haven, Connecticut, United States|Atlanta Center for Medical Research, Atlanta, Georgia, United States|Atlanta Behavioral Research, LLC, Atlanta, Georgia, United States|Rush University Medical Center, Chicago, Illinois, United States|SIU School of Medicine, Springfield, Illinois, United States|Neuroscience Research Institute, Winfield, Illinois, United States|Riley Hospital for Children at Indiana University Health, Indianapolis, Indiana, United States|Beacon Medical Group Clinical Research, South Bend, Indiana, United States|University of Iowa, Carver College of Medicine, Iowa City, Iowa, United States|Lake Charles Clinical Trials, Lake Charles, Louisiana, United States|Sheppard Pratt Health System, Baltimore, Maryland, United States|Johns Hopkins Hospital, Child and Adolescent Psychiatry, Baltimore, Maryland, United States|State University of New York at Buffalo, Buffalo, New York, United States|Columbia University Medical Center, New York, New York, United States|University North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States|University of Cincinnati Hospital, Cincinnati, Ohio, United States|University Hospital of Cleveland, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Tennessee State University, Johnson City, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Hopital Erasme, Brussels, Belgium|Hospital Universitario Professor Edgar Santos, Bahia, Brazil|Trial Tech Tecnologia em Pesquisas com Medicamentos, Curitiba, Brazil|Hospital Infantil Pequeno Príncipe - Associação Hospitalar de Proteção à Infância Dr. Raul Carneiro, Curitiba, Brazil|Bioserv SMO - HSVP ( Hospital São Vicente de Paulo), Passo Fundo, Brazil|Hospital de Clínicas de Porto Alegre/ HCPA / UFRGS, Porto Alegre, Brazil|CEMEC - Centro Multidisciplinar de Estudos Clínicos, São Bernardo do Campo, Brazil|Hospital São Sebastião, Turvo, Brazil|Mental Health Center - Rousse, Ruse, Bulgaria|Multiprofile Hospital for Active Treatment - MHAT Sveta Marina EAD, Varna, Bulgaria|Hospices Civils de Lyon HCL, Bron, France|CHRU Lille - Hôpital Fontan 1, Lille, France|CHU Nantes, Nantes, France|Hôpital Universitaire Pitié-Salpêtrière, Paris, France|Hopital Sainte Anne, Paris, France|Hôpital Robert Debré, Paris, France|CHU Saint-etienne, Saint-Priest-En-Jarez, France|Vadaskert Gyermek- és Ifjúságpszichiátriai Kórház és Szakambulancia, Budapest, Hungary|Szegedi Tudomanyegyetem, Szeged, Hungary|Azienda Ospedaliera G. Brotzu, Cagliari, Italy|OSP RIUNITI-DIP Donna- Bambino, Foggia, Italy|Ospedale di Merano, Merano, Italy|Azienda Ospedaliera Universitaria Policlinico G. Martino, Messina, Italy|Azienda Ospedaliera Universitaria Federico II, Napoli, Italy|IRCCS C. Mondino, Istituto Neurologico Nazionale, Fondazione, Pavia, Italy|Ospedale Pediatrico Bambin Gesù, Roma, Italy|Irccs Burlo-Garofalo, Trieste, Italy|Klinika Psychiatrii Dzieci i Mlodziezy, CM UJ, Krakow, Poland|Dzieciecy Szpital Kliniczny im. Jozefa Polikarpa Brudzinskiego, Warszawa, Poland|Instytut Psychiatrii i Neurologii Klinika Psychiatrii Dzieci i Mlodziezy, Warszawa, Poland|Wojewódzki Szpital Specjalistyczny im. J. Gromkowskiego, Oddział Psychiatryczny Dzieci i Młodzieży, Wroclaw, Poland|Hosp. Clinic I Provincial de Barcelona, Barcelona, Spain|Hosp. Sant Joan de Deu, Esplugues de Llobregat, Spain|Hosp. Gral. Univ. Gregorio Marañon, Madrid, Spain|Hosp. Infantil Univ. Niño Jesus, Madrid, Spain|Hosp. Univ. Pta. de Hierro Majadahonda, Majadahonda, Spain|Hosp. Univ. Central de Asturias, Oviedo, Spain|Clinica Univ. de Navarra, Pamplona, Spain|Corporacio Sanitari Parc Tauli, Sabadell, Spain",,"https://ClinicalTrials.gov/show/NCT03185819"
1268,"NCT00646087","Ketamine Frequency Treatment for Major Depressive Disorder",,"Withdrawn","No Results Available","Treatment Resistant Depression","Drug: Ketamine|Drug: Ketamine/Saline","The primary efficacy measure is the change in scores in the 21-item Hamilton Depression Rating Scale.|Proportion of patients with remission (HDRS score < 18) at the end of the 2-week treatment and each follow-up contact.","Essentia Health","All","30 Years to 65 Years   (Adult, Older Adult)","Phase 4","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","04-07-04","March 2008",,,"March 28, 2008",,"June 6, 2011","St. Mary's Duluth Clinic Health System, Duluth, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT00646087"
1269,"NCT00697268","p11 Protein Levels in Patients With Major Depressive Disorder Treated With Citalopram",,"Completed","No Results Available","Depression",,"We will study whether blood cell levels of p11 differ between healthy individuals and patients with depression. Moreover, we will study whether the levels of p11 are affected by treatment with the selective serotonin reuptake inhibitor, citalopr...|Complementary work will continue at other laboratories to better characterize the role of p11 in the pathophysiology of depression (e.g., animal studies, post-mortem studies).","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 65 Years   (Adult, Older Adult)",,"38","NIH","Observational",,"080150|08-M-0150","June 3, 2008",,"July 28, 2016","June 13, 2008",,"December 17, 2019","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00697268"
1270,"NCT01882452","A Randomised Controlled Clinical Trial of Memory Specificity Training (MEST) for Depression","MEST","Completed","No Results Available","Major Depressive Disorder|Depressive Symptoms","Behavioral: Memory Specificity Training|Behavioral: Education and Support","Change from baseline in depressive symptoms on the Beck Depression Inventory II (BDI-II)|Change in depressive status according to the Structured Clinical Interview for Diagnostic and Statistical Manual of Mental Disorders - IV (SCID-IV)|Change from baseline in autobiographical memory specificity on Autobiographical Memory Test (AMT)|Change from baseline in depressive symptoms as measured on the BDI-II|Depression free days following treatment according to the Longitudinal Follow-up Evaluation on the SCID-IV","Medical Research Council|KU Leuven","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","MEST-UK","July 2013","August 2016","October 2016","June 20, 2013",,"March 22, 2018","Aliza Werner-Seidler, Sydney, Australia",,"https://ClinicalTrials.gov/show/NCT01882452"
1271,"NCT04720040","The Efficacy and Safety of tDCS in Patients With Mild to Moderate Major Depressive Disorder",,"Completed","No Results Available","Depression","Device: Mind STIM","Korean-Beck Depression Inventory-II|Korean-Beck Anxiety Depression Inventory|Hamilton Rating Scale for Depression","Ybrain Inc.|The Catholic University of Korea|Inje University|Korea University|Seoul National University Bundang Hospital|Hallym University Medical Center|Soonchunhyang University Hospital","All","19 Years to 65 Years   (Adult, Older Adult)","Not Applicable","65","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","YB_ST_SIT1902","December 23, 2019","August 31, 2020","October 15, 2020","January 22, 2021",,"January 22, 2021","YBrain Inc., Seongnam-si, Gyeonggi-do, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04720040"
1272,"NCT04101474","Role Of Ketamine in Treatment-Resistant Major Depressive Disorder And Its Effect on Suicidality",,"Not yet recruiting","No Results Available","Treatment Resistant Depression","Drug: Ketamine","Role of Ketamine as Antidepressant|Effect of Ketamine on Suicidality","Assiut University","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Ketamine with TRD","December 1, 2019","December 1, 2020","February 1, 2021","September 24, 2019",,"September 27, 2019",,,"https://ClinicalTrials.gov/show/NCT04101474"
1273,"NCT04618263","Safety and Tolerability of Single and Multiple Ascending Doses of GATE-101 in Normal Human Volunteers",,"Recruiting","No Results Available","Major Depressive Disorder|Excessive Sleepiness","Drug: GATE-101","Number of Participants with Treatment-Emergent Adverse Events Through Study Completion, 28 days|Pharmacokinetics - maximum plasma concentration - following a single intravenous dose|Pharmacokinetics - maximum plasma concentration - following 5 daily intravenous doses|Pharmacokinetics - area under the curve - following a single intravenous dose|Pharmacokinetics - area under the curve - following 5 daily intravenous doses","Gate Neurosciences, Inc","All","18 Years to 40 Years   (Adult)","Phase 1","40","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","GATE-101-C-101","October 26, 2020","October 1, 2021","December 1, 2021","November 5, 2020",,"July 27, 2021","Clinilabs Drug Development Corporation, Eatontown, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04618263"
